BoardID,chanID,voltage
5,8,1190.0
5,9,1110.0
5,10,1110.0
5,11,1150.0
5,12,1010.0
5,13,990.0
5,14,1000.0
5,15,1000.0
5,0,1050.0
5,1,1010.0
5,2,1010.0
5,3,1000.0
5,4,1110.0
5,5,1120.0
5,6,1070.0
5,7,1030.0
